Checked-RK,Checked-FAM,study,year,Study,UniqueStudy,Etiology,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,MRI Tesla,AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,
,,Meyer et al. Restor Neurol Neurosci,2007,11,4,congenital,bilateral,profound,6,4,2,23.5,,19,43,,,,,,,,,DGS,6,4,2,26.67,,22,45,3,256,256,128,1.5,19.2,RARE,T1,VBM,,SPM,-33,-48,23,,posterior fasciculus longitudinalis superior,posterior fasciculus longitudinalis superior,left,volume,WM,,,decrease,1.5011,0.6003,
,,Meyer et al. Restor Neurol Neurosci,2007,11,4,congenital,bilateral,profound,6,4,2,23.5,,19,43,,,,,,,,,DGS,6,4,2,26.67,,22,45,3,256,256,128,1.5,19.2,RARE,T1,VBM,,SPM,-20,19,-14,,uncinate fasciculus,uncinate fasciculus,left,volume,WM,,,decrease,1.5011,0.6003,
,,Meyer et al. Restor Neurol Neurosci,2007,11,4,congenital,bilateral,profound,6,4,2,23.5,,19,43,,,,,,,,,DGS,6,4,2,26.67,,22,45,3,256,256,128,1.5,19.2,RARE,T1,VBM,,SPM,15,3,-6,,globus pallidus,globus pallidus,right,volume,WM,,,decrease,1.5011,0.6003,
,,Park et al. Biomed Res Int,2018,12,5,congenital,bilateral,profound,21,8,13,3.9,,1.7,7.7,,,,,,,,,KSL,20,12,8,4.7,,2,7.6,3,128,128,,3,18,EPI,EPI,DTI,45,FMRIB,,,,,superior longitudinal fasciculus,superior longitudinal fasciculus ,bilateral,FA,WM,,,decrease,0.6318,0.3012,
,,Park et al. Biomed Res Int,2018,12,5,congenital,bilateral,profound,21,8,13,3.9,,1.7,7.7,,,,,,,,,KSL,20,12,8,4.7,,2,7.6,3,128,128,,3,18,EPI,EPI,DTI,45,FMRIB,,,,,uncinate fasciculus,uncinate fasciculus,bilateral,FA,WM,,,decrease,0.6318,0.3012,
,,Park et al. Biomed Res Int,2018,12,5,congenital,bilateral,profound,21,8,13,3.9,,1.7,7.7,,,,,,,,,KSL,20,12,8,4.7,,2,7.6,3,128,128,,3,18,EPI,EPI,DTI,45,FMRIB,,,,,inferior fronto-occipitalfasciculus,inferior fronto-occipital fasciculus,bilateral,FA,WM,,,decrease,0.6318,0.3012,
,,Park et al. Biomed Res Int,2018,12,5,congenital,bilateral,profound,21,8,13,3.9,,1.7,7.7,,,,,,,,,KSL,20,12,8,4.7,,2,7.6,3,128,128,,3,18,EPI,EPI,DTI,45,FMRIB,,,,,forceps major,forceps major,bilateral,FA,WM,,,decrease,0.6318,0.3012,
,,Park et al. Biomed Res Int,2018,12,5,congenital,bilateral,profound,21,8,13,3.9,,1.7,7.7,,,,,,,,,KSL,20,12,8,4.7,,2,7.6,3,128,128,,3,18,EPI,EPI,DTI,45,FMRIB,,,,BA41,temporal lobe,HG,bilateral,FA,WM,,,decrease,0.6318,0.3012,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,-30,-30,58,BA4,frontal,Handknob ,left,ratio GM/WM,GM/WM,,,increase,2.0124,0.7093,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,27,-31,55,BA1,parietal,somatosensory,right,ratio GM/WM,GM/WM,,,increase,1.2417,0.5275,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,left,volume,GM,,,increase,0.2102,0.1045,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,right,volume,GM,,,increase,0.1197,0.0598,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,asymmetry,asymmetry,GM,leftward,leftward ,decrease,1.3989,0.5732,decreased leftward leaning
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,left,volume,WM,,,decrease,0.2421,0.1202,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,right,volume,WM,,,decrease,0.1392,0.0695,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA41,temporal lobe,HG,asymmetry,asymmetry,WM,leftward,leftward ,decrease,0.1198,0.0598,decreased leftward leaning
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA22,temporal lobe,PT,left,volume,GM,,,decrease,0.696,0.3287,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA22,temporal lobe,PT,right,volume,GM,,,decrease,0.0433,0.0216,
,,Penhune et al. Neuroimage,2003,13,6,congenital,bilateral,profound,12,7,5,29,,,,94.5,,94,,88-110,95,,90-110,ASL/LSQ,10,5,5,32,,,,1.5,256,256,160,1,,FFE,T1,VBM,,Manual,,,,BA22,temporal lobe,PT,asymmetry,asymmetry,GM,leftward,leftward ,decrease,0.4792,0.233,decreased leftward leaning
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,,,,BA41,temporal lobe,HG,total,volume,GM,,,increase,0.7562,0.3537,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,,,,BA41,temporal lobe,HG,total,volume,WM,,,decrease,0.8154,0.3775,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,,,,BA41,temporal lobe,HG,asymmetry,asymmetry,GM+WM,leftward,leftward ,decrease,2.6142,0.7942,decreased leftward leaning
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,,,,BA41,temporal lobe,HG,total,ratio GM/WM,GM/WM,,,decrease,1.4499,0.5869,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-45,10,14,BA44,frontal,inferior frontal,left,volume,GM,,,increase,1.6891,0.6452,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-47,-15,-25,BA20,temporal lobe,mid-temporal,left,volume,GM,,,increase,1.298,0.5444,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,40,-59,43,BA39,parietal,"parietal lobe, angular",right,volume,GM,,,increase,1.294,0.5432,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-15,-14,1,BA50,thalmus,superior temporal,left,volume,GM,,,increase,1.3062,0.5468,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-35,-74,9,BA19,occipital,mid-occipital,left,volume,GM,,,increase,1.2491,0.5297,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,44,-47,4,,temporal lobe,mid-temporal,right,volume,WM,,,decrease,1.3606,0.5625,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,12,-73,-37,,cerebellum,cerebellum posterior,right,volume,WM,,,decrease,1.5426,0.6107,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-23,-42,47,,parietal,Left parietal,left,volume,WM,,,decrease,1.2897,0.5419,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,43,-24,2,BA41,temporal lobe,superior temporal,right,volume,WM,,,decrease,1.3688,0.4819,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-35,-73,9,BA19,temporal lobe,temporal,left,volume,WM,,,decrease,1.4543,0.5881,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-25,-80,-5,BA18,occipital,occipital,left,volume,WM,,,decrease,1.4372,0.5836,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-22,-64,-36,,cerebellum,Left cerebellum,left,volume,WM,,,decrease,1.3857,0.5695,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-53,-18,2,,temporal lobe,Left superior temporal,left,volume,WM,,,decrease,1.2856,0.5407,
,,Smith et al. Cereb Cortex,2011,14,7,congenital,bilateral,severe/profound,16,8,8,1.16,3,,,,,,,,,,,none,26,8,18,1,2.6,,,3,256,205,,1,21.9,MP-RAGE,T1,VBM,,SPM,-2,-35,-47,,Medulla,Medulla,bilateral,volume,WM,,,decrease,1.3145,0.5492,
,,Chang et al. Neuroreport,2004,15,8,congenital,bilateral,moderate,10,3,7,22.04,25.57,8,85,63,21.33,60.625,20.74,25-100,65.375,21.85,30-100,KSL,10,5,5,26.5,,22,34,3,220,220,16,5,22,SE-EPI,SE-EPI,DTI,24,GE-Work,,,,,brainstem,Superior olivary nucleus ,left,FA,WM,,,decrease,1.4727,0.5929,
,,Chang et al. Neuroreport,2004,15,8,congenital,bilateral,moderate,10,3,7,22.04,25.57,8,85,63,21.33,60.625,20.74,25-100,65.375,21.85,30-100,KSL,10,5,5,26.5,,22,34,3,220,220,16,5,22,SE-EPI,SE-EPI,DTI,24,GE-Work,,,,,brainstem,Superior olivary nucleus ,right,FA,WM,,,decrease,1.1681,0.5043,
,,Chang et al. Neuroreport,2004,15,8,congenital,bilateral,moderate,10,3,7,22.04,25.57,8,85,63,21.33,60.625,20.74,25-100,65.375,21.85,30-100,KSL,10,5,5,26.5,,22,34,3,220,220,16,5,22,SE-EPI,SE-EPI,DTI,24,GE-Work,,,,,brainstem,Superior olivary nucleus ,asymmetry,asymmetry,WM,leftward,leftward ,increase,0.1345,0.0671,increase leftward leaning
,,"Chang et al., Clin Exp Otorhinolaryngo",2012,16,9,congenital,bilateral,profound,18,11,7,5.9,1.4,,,,,,,,,,,KSL,,,,,,,,3,128,128,16,4,24,SE-EPI,SE-EPI,DTI,25,MedINRIA ,,,,,medial geniculate nucleus ,medial geniculate nucleus ,bilateral,FA,WM,,,decrease,1.2827,0.4819,
,,"Chang et al., Clin Exp Otorhinolaryngo",2012,16,9,congenital,bilateral,profound,18,11,7,5.9,1.4,,,,,,,,,,,KSL,,,,,,,,3,128,128,16,4,24,SE-EPI,SE-EPI,DTI,25,MedINRIA ,,,,,Brocas area ,Brocas area,bilateral,FA,WM,,,decrease,1.8467,0.6784,
,,"Chang et al., Clin Exp Otorhinolaryngo",2012,16,9,congenital,bilateral,profound,18,11,7,5.9,1.4,,,,,,,,,,,KSL,,,,,,,,3,128,128,16,4,24,SE-EPI,SE-EPI,DTI,25,MedINRIA ,,,,,genu of the corpus callosum ,corpus callosum genu,bilateral,FA,WM,,,decrease,1.8467,0.6784,
,,"Chang et al., Clin Exp Otorhinolaryngo",2012,16,9,congenital,bilateral,profound,18,11,7,5.9,1.4,,,,,,,,,,,KSL,,,,,,,,3,128,128,16,4,24,SE-EPI,SE-EPI,DTI,25,MedINRIA ,,,,,auditory tract ,auditory tract ,bilateral,FA,WM,,,decrease,2.1261,0.7284,
,,Shiell & Zatorre. Hear Res,2017,17,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,,GRAPPA ,DTI,99,FMRIB,54.8,-35.6,21.6,BA22,temporal lobe,planum temporale,right,volume,WM,,,decrease,0.8884,0.3333,
,,Shiell & Zatorre. Hear Res,2017,17,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,,GRAPPA ,DTI,99,FMRIB,,,,,temporal lobe,planum temporale,right,RD,WM,,,decrease,1.0107,0.451,
,,Shiell & Zatorre. Hear Res,2017,17,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,,GRAPPA ,DTI,99,FMRIB,,,,,temporal lobe,planum temporale,right,MD,WM,,,decrease,0.8805,0.4029,
,,Shiell & Zatorre. Hear Res,2017,17,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,,GRAPPA ,DTI,99,FMRIB,,,,,temporal lobe,planum temporale,right,AD,WM,,,decrease,0.4627,0.2254,
,,Shiell & Zatorre. Hear Res,2017,17,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,,GRAPPA ,DTI,99,FMRIB,,,,,temporal lobe,planum temporale,right,RD,WM,,,decrease,0.8993,0.4101,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,63,-37,17,BA22,temporal lobe,planum temporale,right,Thickness,GM+WM,,,increase,0.9275,0.4207,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,,temporal lobe,planum temporale,left,Thickness,GM+WM,,,increase,0.0062,0.003,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,BA41,temporal lobe,HG,left,Thickness,GM+WM,,,increase,0.4788,0.2328,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,BA42,temporal lobe,HG,right,Thickness,GM+WM,,,increase,0.5956,0.2854,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,,temporal lobe,MTG,left,Thickness,GM+WM,,,increase,0.4877,0.2369,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,,temporal lobe,MTG,right,Thickness,GM+WM,,,increase,0.4766,0.2318,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,,occipital,calcarine sulcus,left,Thickness,GM+WM,,,increase,0.4658,0.2268,
,,Shiell et al. Neural Plasticity,2016,18,10,congenital,bilateral,profound,11,5,6,28.2,,21,37,90,,90,,,90,,,ASL/LSQ,17,3,14,32.1,,,,3,256,256,72,2,,MP-RAGE,T1,CT,,FreeSurfer,,,,,occipital,calcarine sulcus,right,Thickness,GM+WM,,,increase,0.1496,0.0746,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,,SE-EPI,SE-EPI,DTI,45,FMRIB,-25,-57,15,,corpus callosum,Bilateral forceps major,left,FA,WM,,,increase,1.4516,0.5874,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,,SE-EPI,SE-EPI,DTI,45,FMRIB,47,-22,3,,temporal lobe,superior temporal,right,FA,WM,,,decrease,1.4268,0.5808,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,,SE-EPI,SE-EPI,DTI,45,FMRIB,23,-15,0,,thalmus,internal capsule,right,FA,WM,,,decrease,1.4821,0.5954,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,,SE-EPI,SE-EPI,DTI,45,FMRIB,38,-23,31,,superior longitudinal fasciculus,superior longitudinal fasciculus,right,FA,WM,,,decrease,1.5791,0.6197,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,,SE-EPI,SE-EPI,DTI,45,FMRIB,-38,27,15,BA46,inferior fronto-occipitalfasciculus,inferior fronto-occipital fasciculus,left,FA,WM,,,decrease,1.5791,0.6197,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,-37,-29,8,BA41,temporal lobe,STG,left,volume,WM,,,decrease,1.4493,0.5868,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,55,-19,2,BA41,temporal lobe,STG,right,volume,WM,,,decrease,1.3493,0.5593,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,-34,-14,-11,,temporal lobe,temporal sub-gyral ,left,volume,WM,,,decrease,1.3743,0.5663,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,37,-21,-13,BA54,temporal lobe,temporal sub-gyral ,right,volume,WM,,,decrease,1.112,0.4859,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,-25,-38,54,,parietal,parietal lobe,left,volume,WM,,,decrease,1.3775,0.5672,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,-15,41,33,,frontal,superior frontal,left,volume,WM,,,decrease,1.4019,0.5532,
,,Kim et al. Neuroreport,2009,19,11,congenital,bilateral,profound,13,6,7,29.3,6.8,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,256,256,182,1.2,,RARE,T1,VBM,,SPM,-14,63,3,BA10,frontal,medial frontal,left,volume,WM,,,decrease,1.3785,0.5468,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,47,-18,6,BA41,temporal lobe,STG,right,FA,WM,,,decrease,0.839,0.3868,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,-43,-24,7,BA41,temporal lobe,STG,left,FA,WM,,,decrease,0.839,0.3868,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,42,-18,-8,,temporal lobe,temporal lobe WM,right,FA,WM,,,decrease,0.839,0.3868,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,14,-10,-8,,thalmus,internal capsule,right,FA,WM,,,decrease,0.8109,0.3757,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,23,-24,4,,thalmus,thalmus,right,FA,WM,,,decrease,0.8109,0.3757,
,,Kim et al. Neuroreport,2017,20,11,congenital,bilateral,profound,8,5,3,31.6,10.2,,,90,,90,,,90,,,KSL,29,17,12,26.5,4.5,,,3,128,128,70,2,22,SE-EPI,SE-EPI,DTI,45,FMRIB,0,-34,21,,corpus callosum,splenium of corpus callosum,bilateral,FA,WM,,,decrease,0.8557,0.3933,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,thalmus,left,Thickness,GM+WM,,,decrease,0.1767,0.088,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,thalmus,right,Thickness,GM+WM,,,increase,0.2784,0.1378,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,thalmus,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,0.1767,0.088,increased rightward leaning
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,pulvinar,left,Thickness,GM+WM,,,decrease,0.8269,0.3821,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,pulvinar,right,Thickness,GM+WM,,,decrease,0.2737,0.1356,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,pulvinar,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,0.4535,0.2212,increased rightward leaning
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,LGN,left,Thickness,GM+WM,,,decrease,0.7916,0.368,
